pH,EC_uScm,TDS_mgL,HCO3_mgL,Cl_mgL,F_mgL,SO4,NO3,Total_Hardness_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,pH_exceed,TDS_mgL_exceed,NO3_exceed,F_mgL_exceed,Cl_mgL_exceed,SO4_exceed,Total_Hardness_mgL_exceed,risk_score,risk_label,Latitude,Longitude,State,District,Location,coordinate_flag
7.21,420.0,281.40000000000003,283.0,5.0,0.18,13.0,3.0,228.0,79.0,7.0,9.0,1.0,0,0,0,0,0,0,1,1,MODERATE,33.2364,74.3688,Jammu & Kashmir,Rajouri,Dayala,
6.94,280.0,187.6,166.0,5.0,0.21,9.0,6.0,145.0,50.0,5.0,9.0,1.0,0,0,0,0,0,0,0,0,SAFE,32.423,75.291,Jammu & Kashmir,Mahreen,Hore,
6.91,582.0,389.94,267.0,28.0,0.14,18.0,36.0,265.0,79.0,17.0,19.0,0.0,0,0,0,0,0,0,1,1,MODERATE,34.4097,74.2333,Jammu & Kashmir,Kupwara,Wadipora,
6.96,855.0,572.85,488.0,33.0,0.18,34.0,13.0,363.0,108.0,23.0,59.0,1.0,0,1,0,0,0,0,1,2,MODERATE,34.5167,74.1753,Jammu & Kashmir,Kupwara,Trehgam,
6.96,789.0,528.63,308.0,55.0,0.22,31.0,54.0,287.0,82.0,21.0,45.0,11.0,0,1,1,0,0,0,1,3,HIGH,34.5369,74.2194,Jammu & Kashmir,Kupwara,Gulgam,
7.04,634.0,424.78,257.0,43.0,0.21,33.0,24.0,282.0,77.0,23.0,18.0,1.0,0,0,0,0,0,0,1,1,MODERATE,34.4881,74.1475,Jammu & Kashmir,Kupwara,Dohama,
6.42,427.0,286.09000000000003,139.0,33.0,0.08,16.0,53.0,144.0,42.0,10.0,30.0,3.0,1,0,1,0,0,0,0,2,MODERATE,34.5081,74.3831,Jammu & Kashmir,Kupwara,Lassipora,
6.81,329.0,220.43,181.0,13.0,0.17,10.0,3.0,134.0,38.0,10.0,16.0,6.0,0,0,0,0,0,0,0,0,SAFE,34.5444,74.3264,Jammu & Kashmir,Kupwara,Cherkut,
6.68,272.0,182.24,132.0,10.0,0.13,9.0,11.0,129.0,38.0,9.0,6.0,0.0,0,0,0,0,0,0,0,0,SAFE,34.3917,74.1822,Jammu & Kashmir,Kupwara,Chanjmul,
6.97,730.0,489.1,407.0,46.0,0.21,12.0,3.0,342.0,117.0,12.0,32.0,2.0,0,0,0,0,0,0,1,1,MODERATE,33.1385,74.4057,Jammu & Kashmir,Rajouri,Dharamshal,
6.89,760.0,509.2000000000001,505.0,10.0,0.23,14.0,10.0,406.0,131.0,19.0,16.0,2.0,0,1,0,0,0,0,1,2,MODERATE,33.1662,74.4165,Jammu & Kashmir,Rajouri,Lower Kharak,
7.05,850.0,569.5,505.0,28.0,0.33,27.0,28.0,460.0,153.0,19.0,19.0,2.0,0,1,0,0,0,0,1,2,MODERATE,33.1801,74.4157,Jammu & Kashmir,Rajouri,Panja,
6.91,790.0,529.3000000000001,518.0,15.0,0.23,16.0,10.0,421.0,137.0,19.0,17.0,4.0,0,1,0,0,0,0,1,2,MODERATE,33.1606,74.4328,Jammu & Kashmir,Rajouri,Solki,
7.31,850.0,569.5,442.0,45.0,0.38,43.0,15.0,395.0,132.0,16.0,46.0,2.0,0,1,0,0,0,0,1,2,MODERATE,33.1426,74.3033,Jammu & Kashmir,Rajouri,Bagnoti,
7.27,1630.0,1092.1,613.0,239.0,0.51,92.0,44.0,685.0,192.0,50.0,143.0,7.0,0,1,0,0,0,0,1,2,MODERATE,33.1554,74.2251,Jammu & Kashmir,Rajouri,Bareri,
7.07,640.0,428.8,419.0,10.0,0.26,13.0,10.0,302.0,99.0,13.0,29.0,2.0,0,0,0,0,0,0,1,1,MODERATE,33.2148,74.1876,Jammu & Kashmir,Rajouri,Bhatta Morh,
7.06,740.0,495.8,478.0,13.0,0.2,25.0,0.0,400.0,124.0,22.0,11.0,2.0,0,0,0,0,0,0,1,1,MODERATE,33.1731,74.1699,Jammu & Kashmir,Rajouri,Chowki Handa,
6.92,660.0,442.2000000000001,431.0,10.0,0.21,14.0,3.0,351.0,125.0,10.0,9.0,1.0,0,0,0,0,0,0,1,1,MODERATE,33.2243,74.1505,Jammu & Kashmir,Rajouri,Darhal Quilla,
7.09,620.0,415.4,314.0,20.0,0.29,25.0,33.0,302.0,89.0,19.0,21.0,1.0,0,0,0,0,0,0,1,1,MODERATE,33.0878,74.2763,Jammu & Kashmir,Rajouri,Ding,
7.31,710.0,475.7000000000001,442.0,10.0,0.23,29.0,12.0,350.0,100.0,24.0,32.0,1.0,0,0,0,0,0,0,1,1,MODERATE,33.0974,74.265,Jammu & Kashmir,Rajouri,Gahgrot,
7.15,790.0,529.3000000000001,454.0,30.0,0.27,29.0,12.0,410.0,132.0,19.0,22.0,1.0,0,1,0,0,0,0,1,2,MODERATE,33.0683,74.3435,Jammu & Kashmir,Rajouri,Jabah,
7.28,970.0,649.9000000000001,509.0,53.0,0.3,53.0,12.0,465.0,128.0,35.0,47.0,5.0,0,1,0,0,0,0,1,2,MODERATE,33.2404,74.0472,Jammu & Kashmir,Rajouri,Jhangar,
7.14,760.0,509.2000000000001,453.0,15.0,0.22,22.0,32.0,376.0,115.0,22.0,30.0,2.0,0,1,0,0,0,0,1,2,MODERATE,33.0802,74.233,Jammu & Kashmir,Rajouri,Kalal,
7.15,680.0,455.6,429.0,15.0,0.28,17.0,8.0,355.0,114.0,17.0,18.0,1.0,0,0,0,0,0,0,1,1,MODERATE,33.1844,74.1391,Jammu & Kashmir,Rajouri,Kalsian,
7.18,770.0,515.9,351.0,41.0,0.23,65.0,3.0,342.0,107.0,18.0,21.0,26.0,0,1,0,0,0,0,1,2,MODERATE,33.2497,74.127,Jammu & Kashmir,Rajouri,Lam,
7.19,790.0,529.3000000000001,454.0,33.0,0.22,22.0,3.0,390.0,134.0,13.0,30.0,2.0,0,1,0,0,0,0,1,2,MODERATE,33.2356,74.0969,Jammu & Kashmir,Rajouri,Laroka,
6.9,319.0,213.73,168.0,15.0,0.13,10.0,4.0,136.0,42.0,7.0,12.0,4.0,0,0,0,0,0,0,0,0,SAFE,34.4356,74.3256,Jammu & Kashmir,Kupwara,Tarich,
7.07,1030.0,690.1,397.0,112.0,0.2,39.0,9.0,437.0,129.0,27.0,50.0,3.0,0,1,0,0,0,0,1,2,MODERATE,34.4606,74.3025,Jammu & Kashmir,Kupwara,Radbug,
6.98,227.0,152.09,114.0,5.0,0.26,5.0,11.0,101.0,32.0,5.0,8.0,1.0,0,0,0,0,0,0,0,0,SAFE,34.3875,74.3158,Jammu & Kashmir,Kupwara,Guloora,
8.25,460.0,308.20000000000005,166.0,23.0,0.46,46.0,20.0,69.0,14.0,9.0,54.0,38.0,0,0,0,0,0,0,0,0,SAFE,33.1718,74.2129,Jammu & Kashmir,Rajouri,Naunihal,
7.0,320.0,214.4,197.0,5.0,0.24,7.0,4.0,150.0,50.0,6.0,14.0,1.0,0,0,0,0,0,0,0,0,SAFE,32.4236,75.2603,Jammu & Kashmir,Kathua,Konthal,
6.28,510.0,341.70000000000005,185.0,27.0,0.21,23.0,77.0,235.0,70.0,14.0,18.0,5.0,1,0,1,0,0,0,1,3,HIGH,32.5114,75.2417,Jammu & Kashmir,Kathua,Kootah,
7.21,420.0,281.40000000000003,274.0,5.0,0.3,8.0,6.0,220.0,70.0,11.0,13.0,1.0,0,0,0,0,0,0,1,1,MODERATE,32.4542,75.1978,Jammu & Kashmir,Kathua,Lale Chak,
7.25,480.0,321.6,299.0,13.0,0.24,9.0,14.0,245.0,72.0,16.0,15.0,2.0,0,0,0,0,0,0,1,1,MODERATE,32.425,75.2125,Jammu & Kashmir,Kathua,Londi,
7.09,320.0,214.4,201.0,8.0,0.29,7.0,3.0,175.0,56.0,9.0,7.0,1.0,0,0,0,0,0,0,0,0,SAFE,32.5597,75.2542,Jammu & Kashmir,Kathua,Nilcha,
7.7,990.0,663.3000000000001,567.0,45.0,0.61,40.0,12.0,390.0,116.0,24.0,92.0,2.0,0,1,0,0,0,0,1,2,MODERATE,32.4778,75.1342,Jammu & Kashmir,Kathua,Phalora,
6.9,350.0,234.5,219.0,7.0,0.31,11.0,3.0,181.0,52.0,12.0,12.0,1.0,0,0,0,0,0,0,0,0,SAFE,32.402,75.656,Jammu & Kashmir,Kathua,Barni,
6.56,450.0,301.5,210.0,25.0,0.19,28.0,5.0,150.0,46.0,9.0,42.0,6.0,0,0,0,0,0,0,0,0,SAFE,32.3639,75.5292,Jammu & Kashmir,Kathua,Kathua,
6.38,370.0,247.9,138.0,15.0,0.22,36.0,33.0,161.0,48.0,10.0,14.0,2.0,1,0,0,0,0,0,0,1,MODERATE,32.3667,75.5083,Jammu & Kashmir,Kathua,Kothian,
6.51,310.0,207.7,156.0,15.0,0.28,26.0,5.0,151.0,48.0,7.0,12.0,5.0,0,0,0,0,0,0,0,0,SAFE,32.381,75.6,Jammu & Kashmir,Kathua,Lakhanpur Fort,
7.24,410.0,274.7,275.0,7.0,0.18,11.0,7.0,226.0,81.0,6.0,11.0,2.0,0,0,0,0,0,0,1,1,MODERATE,32.3694,75.3689,Jammu & Kashmir,Kathua,Mukandpur,
6.83,190.0,127.3,105.0,8.0,0.12,16.0,3.0,90.0,29.0,4.0,8.0,1.0,0,0,0,0,0,0,0,0,SAFE,32.381,75.468,Jammu & Kashmir,Kathua,Nanke Chak (Sherpur),
6.62,420.0,281.40000000000003,231.0,15.0,0.34,20.0,3.0,191.0,60.0,10.0,21.0,4.0,0,0,0,0,0,0,0,0,SAFE,32.392,75.597,Jammu & Kashmir,Kathua,Jindor,
7.42,1480.0,991.6,783.0,87.0,0.64,90.0,13.0,610.0,156.0,54.0,126.0,16.0,0,1,0,0,0,0,1,2,MODERATE,32.4014,75.2628,Jammu & Kashmir,Kathua,Gangu Chak,
7.37,880.0,589.6,530.0,35.0,0.4,21.0,11.0,295.0,76.0,26.0,99.0,3.0,0,1,0,0,0,0,1,2,MODERATE,32.3958,75.2361,Jammu & Kashmir,Kathua,Karol Krishna,
7.2,520.0,348.40000000000003,338.0,7.0,0.25,19.0,3.0,281.0,99.0,9.0,15.0,3.0,0,0,0,0,0,0,1,1,MODERATE,32.3458,75.3758,Jammu & Kashmir,Kathua,Kotepanu,
6.96,800.0,536.0,431.0,35.0,0.26,41.0,5.0,347.0,101.0,23.0,28.0,46.0,0,1,0,0,0,0,1,2,MODERATE,32.35,75.4667,Jammu & Kashmir,Kathua,Khukhial,
7.05,490.0,328.3,288.0,12.0,0.28,29.0,3.0,251.0,81.0,12.0,17.0,3.0,0,0,0,0,0,0,1,1,MODERATE,32.35,75.4333,Jammu & Kashmir,Kathua,Nagri,
7.24,530.0,355.1,314.0,8.0,0.27,18.0,9.0,280.0,100.0,7.0,10.0,3.0,0,0,0,0,0,0,1,1,MODERATE,32.394,75.42,Jammu & Kashmir,Kathua,Sumwan,
7.34,342.0,229.14,203.0,5.0,0.21,8.0,3.0,158.0,48.0,10.0,10.0,1.0,0,0,0,0,0,0,0,0,SAFE,34.3322,74.2853,Jammu & Kashmir,Kupwara,Kunel,
7.15,496.0,332.32,264.0,17.0,0.11,15.0,13.0,231.0,77.0,9.0,14.0,2.0,0,0,0,0,0,0,1,1,MODERATE,34.5056,74.2869,Jammu & Kashmir,Kupwara,Drugmulla,
6.9,332.0,222.44000000000003,193.0,13.0,0.24,6.0,3.0,153.0,50.0,7.0,11.0,1.0,0,0,0,0,0,0,0,0,SAFE,34.5708,74.2364,Jammu & Kashmir,Kupwara,Halmathpora (Chota Mohalla),
7.35,368.0,246.56,227.0,5.0,0.26,7.0,6.0,184.0,56.0,11.0,8.0,1.0,0,0,0,0,0,0,0,0,SAFE,34.4386,74.2731,Jammu & Kashmir,Kupwara,Khanpora,
6.88,284.0,190.28,166.0,5.0,0.15,5.0,5.0,134.0,42.0,7.0,9.0,1.0,0,0,0,0,0,0,0,0,SAFE,34.4122,74.3644,Jammu & Kashmir,Kupwara,Panipora (Sagipora),
7.3,244.0,163.48000000000002,151.0,5.0,0.25,4.0,3.0,119.0,36.0,7.0,10.0,0.0,0,0,0,0,0,0,0,0,SAFE,34.5444,74.3847,Jammu & Kashmir,Kupwara,Mir Mohalla (Katyan Wali),
7.05,376.0,251.92,191.0,15.0,0.2,12.0,5.0,168.0,52.0,10.0,13.0,2.0,0,0,0,0,0,0,0,0,SAFE,34.3411,74.3577,Jammu & Kashmir,Kupwara,Palpora,
6.56,207.0,138.69,104.0,10.0,0.1,13.0,6.0,85.0,26.0,5.0,13.0,1.0,0,0,0,0,0,0,0,0,SAFE,34.4944,74.0889,Jammu & Kashmir,Kupwara,Batpora Bala,
6.77,393.0,263.31,214.0,13.0,0.21,18.0,3.0,174.0,50.0,12.0,14.0,5.0,0,0,0,0,0,0,0,0,SAFE,34.4834,74.0771,Jammu & Kashmir,Kupwara,Panzgam,
6.74,274.0,183.58,140.0,15.0,0.09,8.0,4.0,129.0,42.0,6.0,10.0,2.0,0,0,0,0,0,0,0,0,SAFE,34.5064,74.1061,Jammu & Kashmir,Kupwara,Wasar Khoto,
7.24,367.0,245.89,233.0,5.0,0.17,5.0,3.0,169.0,48.0,12.0,17.0,0.0,0,0,0,0,0,0,0,0,SAFE,34.4608,74.2328,Jammu & Kashmir,Kupwara,Magam,
7.18,740.0,495.8,481.0,8.0,0.22,10.0,4.0,327.0,95.0,22.0,46.0,3.0,0,0,0,0,0,0,1,1,MODERATE,33.2714,74.1138,Jammu & Kashmir,Rajouri,Pokharni,
7.14,720.0,482.4,456.0,13.0,0.22,22.0,15.0,381.0,129.0,15.0,16.0,4.0,0,0,0,0,0,0,1,1,MODERATE,33.2812,74.3181,Jammu & Kashmir,Rajouri,Potha,
7.24,640.0,428.8,417.0,7.0,0.27,14.0,12.0,342.0,109.0,17.0,17.0,1.0,0,0,0,0,0,0,1,1,MODERATE,33.1226,74.2179,Jammu & Kashmir,Rajouri,Rumli Dara,
7.26,1040.0,696.8000000000001,632.0,38.0,1.07,32.0,13.0,402.0,103.0,35.0,108.0,2.0,0,1,0,0,0,0,1,2,MODERATE,32.5103,74.9425,Jammu & Kashmir,Samba,Mahalshah Kalandrian,
7.42,370.0,247.9,249.0,5.0,0.32,5.0,0.0,175.0,50.0,12.0,16.0,2.0,0,0,0,0,0,0,0,0,SAFE,32.5181,74.8886,Jammu & Kashmir,Samba,Nandpur,
7.23,490.0,328.3,311.0,8.0,0.36,14.0,9.0,265.0,86.0,12.0,12.0,1.0,0,0,0,0,0,0,1,1,MODERATE,32.4861,75.2042,Jammu & Kashmir,Samba,Raghu Chak,
7.24,850.0,569.5,415.0,27.0,0.43,34.0,72.0,435.0,152.0,13.0,30.0,2.0,0,1,1,0,0,0,1,3,HIGH,32.4944,75.0625,Jammu & Kashmir,Samba,Bengular,
6.54,730.0,489.1,323.0,45.0,0.28,33.0,61.0,350.0,104.0,22.0,30.0,5.0,0,0,1,0,0,0,1,2,MODERATE,32.504,75.202,Jammu & Kashmir,Samba,Jasath,
7.61,580.0,388.6,336.0,7.0,0.22,13.0,34.0,310.0,110.0,9.0,14.0,1.0,0,0,0,0,0,0,1,1,MODERATE,32.5086,75.0722,Jammu & Kashmir,Samba,Pangdour,
7.4,430.0,288.1,281.0,5.0,0.36,10.0,9.0,225.0,78.0,7.0,13.0,1.0,0,0,0,0,0,0,1,1,MODERATE,32.5083,75.125,Jammu & Kashmir,Samba,Raiyan,
7.33,820.0,549.4,452.0,30.0,0.52,35.0,42.0,440.0,118.0,35.0,25.0,3.0,0,1,0,0,0,0,1,2,MODERATE,32.4708,75.125,Jammu & Kashmir,Samba,Sadoh,
6.97,960.0,643.2,464.0,60.0,0.24,35.0,40.0,425.0,148.0,13.0,55.0,7.0,0,1,0,0,0,0,1,2,MODERATE,32.5575,75.1192,Jammu & Kashmir,Samba,Samba,
7.2,800.0,536.0,469.0,25.0,0.35,21.0,30.0,412.0,133.0,20.0,28.0,2.0,0,1,0,0,0,0,1,2,MODERATE,32.5583,75.0667,Jammu & Kashmir,Samba,Supwal,
7.0,400.0,268.0,232.0,10.0,0.22,20.0,9.0,215.0,78.0,5.0,8.0,2.0,0,0,0,0,0,0,1,1,MODERATE,32.593,75.1556,Jammu & Kashmir,Samba,Painthi,
7.07,890.0,596.3000000000001,438.0,68.0,0.27,31.0,6.0,372.0,125.0,15.0,47.0,18.0,0,1,0,0,0,0,1,2,MODERATE,32.55,75.0097,Jammu & Kashmir,Samba,Gudwal,
7.25,590.0,395.3,364.0,10.0,0.31,18.0,12.0,325.0,110.0,12.0,8.0,1.0,0,0,0,0,0,0,1,1,MODERATE,32.5875,74.975,Jammu & Kashmir,Samba,Kainthpur,
6.71,580.0,388.6,302.0,27.0,0.2,26.0,7.0,285.0,90.0,15.0,19.0,1.0,0,0,0,0,0,0,1,1,MODERATE,32.8503,75.1819,Jammu & Kashmir,Udhampur,Kuperlah,
